product_rank,pid,productSku,commentId,score,country,date,user,comment,images
3,1648989475315396608,CJGY1739674,2603081207261606604,5,CA,2026-02-21,M***h,comfortable and safe to use on your companion animals,
3,1648989475315396608,CJGY1739674,2603081207261606603,5,US,2026-02-19,L***x,Excellent quality! Basically same product found locally at higher cost.,
3,1648989475315396608,CJGY1739674,2603081207261606608,5,ES,2026-02-17,N***f,Excelente!,
3,1648989475315396608,CJGY1739674,2603081207251609807,5,PT,2026-02-16,J***o,Recomendo! Tal como descrito sobre o artigo. Ideal para gatos e cães.,
3,1648989475315396608,CJGY1739674,2603081207251609900,5,EE,2026-02-08,R***x,"Extremely comfortable and practical to use, the dog loves it :)",
3,1648989475315396608,CJGY1739674,2603081207261606710,5,DE,2026-02-03,Y***f,Tut was es soll,
3,1648989475315396608,CJGY1739674,2603081207261606602,5,DE,2026-02-02,T***u,Alles gut gerne wieder ,
3,1648989475315396608,CJGY1739674,2603081207251609602,5,ES,2026-01-31,K***l,Es para mi gusto un pelin duro pero creo que con el uso se ablandara.Lo he utilizado he va perfecto para mis perretes sobre todo para mi Bichon.,
3,1648989475315396608,CJGY1739674,2603081207261600000,5,IL,2026-01-30,J***f,מעולה הכלב אהב,
3,1648989475315396608,CJGY1739674,2603081207251609601,5,ES,2026-01-29,P***b,"Lo compré para la perra de mi hermano y ls verdad es que funciona genial, quita bien los pelos y con botón trasero se quitan del peine sin problema",
3,1648989475315396608,CJGY1739674,2603081207251609901,5,IT,2026-01-29,V***y,facile da usare e molto pratico...colore come in descrizione,
3,1648989475315396608,CJGY1739674,2603081207251609801,5,ES,2026-01-28,X***v,Pensé k las púas eran más largas y gruesas pero está genial la verdad desenreda bien mi perro tiene pelo largo y rizado también le sirve a mi gato estoy contenta con la compra ,
3,1648989475315396608,CJGY1739674,2603081207261606705,5,DE,2026-01-22,K***l,Gut ,
3,1648989475315396608,CJGY1739674,2603081207251609902,5,FR,2026-01-22,N***b,pratique a l’air de bonne qualité,
3,1648989475315396608,CJGY1739674,2603081207261606606,5,LT,2026-01-21,C***d,Very good ,
3,1648989475315396608,CJGY1739674,2603081207251609805,5,ES,2026-01-20,G***j,El cepillo para perro es ideal..muy fácil de utilizar y práctico,
3,1648989475315396608,CJGY1739674,2603081207251609906,5,FR,2026-01-20,D***o,super trop bien,
3,1648989475315396608,CJGY1739674,2603081207261606607,5,IL,2026-01-17,K***t,מצויין,
3,1648989475315396608,CJGY1739674,2603081207261606700,4,FR,2026-01-15,S***h,très bien,
3,1648989475315396608,CJGY1739674,2603081207261606706,5,PL,2026-01-14,O***s,ok,
3,1648989475315396608,CJGY1739674,2603081207261606708,5,FR,2026-01-13,Z***a,Très bien à voir dans la durée ,
3,1648989475315396608,CJGY1739674,2603081207251609905,5,UA,2026-01-12,A***y,Great quality ,
3,1648989475315396608,CJGY1739674,2603081207251609904,5,PL,2026-01-11,M***j,Bardzo fajna szczotka która jest prosta w utrzymaniu czystości.,
3,1648989475315396608,CJGY1739674,2603081207251609800,5,FR,2026-01-07,M***r,Franchement je re conseille de produits qui est excellent sa enlève vraiment bien les poil et se retire nickel merci ,
3,1648989475315396608,CJGY1739674,2603081207261606703,5,CA,2026-01-07,E***k,Good,
3,1648989475315396608,CJGY1739674,2603081207261606704,5,IL,2026-01-05,M***p,תודה רבה,
3,1648989475315396608,CJGY1739674,2603081207261606605,5,DK,2026-01-02,I***f,perfect,
3,1648989475315396608,CJGY1739674,2603081207261606701,5,UA,2025-12-29,W***b,"все нормально, все работает.",
3,1648989475315396608,CJGY1739674,2603081207251609806,5,BE,2025-12-24,J***k,"The brush is really nice, both of my cats enjoy being brushed.",
3,1648989475315396608,CJGY1739674,2603081207261606709,5,FR,2025-12-23,B***p,cr,
3,1648989475315396608,CJGY1739674,2603081207261606601,5,IL,2025-12-18,F***x,"Great product, works well",
3,1648989475315396608,CJGY1739674,2603081207261606702,5,AU,2025-12-17,P***a,All good,
3,1648989475315396608,CJGY1739674,2603081207251609907,5,MX,2025-12-14,J***f,excelente y a un buen precio,
3,1648989475315396608,CJGY1739674,2603081207251609903,5,HR,2025-12-13,W***o,"Really great, just like the pictures.",
3,1648989475315396608,CJGY1739674,2603081207251609600,5,ES,2025-12-12,N***a,me encanta no hace daño y además quita muy bien el pelo sobrante que lo quitas del cepillo muy bien cilindro el botón,
3,1648989475315396608,CJGY1739674,2603081207251609804,5,IL,2025-12-11,Y***o,"הכי מרוצה שייש,ממליצה אני רכשתי עבור השיצו שלי",
3,1648989475315396608,CJGY1739674,2603081207251609803,5,IT,2025-12-11,J***v,"buon prodotto, testato sul mio pastore tedesco, si è fatta pettinare senza problemi.",
3,1648989475315396608,CJGY1739674,2603081207251609802,5,ES,2025-12-06,E***p,"Muy buen precio calidad. Esperemos que dure. Recomendable, lo he probado con mi perro y funciona.",
3,1648989475315396608,CJGY1739674,1654400210526806016,5,US,2023-05-02,J***n,"Cool comb. During hair, the wool does not fly into the nose, collects well, and removes perfectly.",
3,1648989475315396608,CJGY1739674,1654400029647441920,5,US,2023-05-01,M***u,Excellent material and functionality ,
4,1655413788528615424,CJMY1752960,1697142633656750080,5,ID,2023-08-01,J***m,the pet hair dryer come with 4 fan speed. can select temperature from 35 c degree to 60 c degree. there is one button to easy clean the fur from the comb. another button to dissamble the comb part from body. there is also a filter to prevent fur come inside the machine.,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2023-08-31/0feb8149-2ed2-474e-a895-ed63121b19b2.jpg | https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2023-08-31/f006fba7-411d-42e6-80e6-321c28973b2a.jpg | https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2023-08-31/d4cc3c1d-bc52-4a97-89b8-23430681b562.jpg | https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2023-08-31/aea4c801-96c3-461d-8384-129117a31698.jpg
5,2503191148021601200,CJYD2332008,2608240948011612300,5,US,2026-08-14,S***p,Black is dirt-resistant and won't show its age even after a long time.,
5,2503191148021601200,CJYD2332008,2608240950351621500,5,US,2026-08-07,U***f,The design is very thoughtful.,
5,2503191148021601200,CJYD2332008,2608240947261621500,5,US,2026-08-05,U***x,The size is just right; it can be used by both small and large hands.,
5,2503191148021601200,CJYD2332008,2608240950491621200,5,US,2026-08-04,W***v,The amount of hair removed is astonishing.,
5,2503191148021601200,CJYD2332008,2608240947471610500,5,US,2026-08-01,M***v,"High cost-performance ratio, this is my second purchase.",
5,2503191148021601200,CJYD2332008,2608240950211617000,5,US,2026-07-29,V***a,Better than a lint roller,
5,2503191148021601200,CJYD2332008,2608240949081628400,5,US,2026-07-15,V***u,The loose hairs fall off easily with a swipe.,
5,2503191148021601200,CJYD2332008,2608240949251609000,5,US,2026-07-08,Z***k,Mesh won't prick your hands,
5,2503191148021601200,CJYD2332008,2608240949481625600,5,US,2026-06-25,P***q,"Gentler than a comb, even sensitive cats will accept it.",
5,2503191148021601200,CJYD2332008,2608240950051628700,5,US,2026-06-11,R***m,Easy to clean,
5,2503191148021601200,CJYD2332008,2505260609041601113,3,JP,2025-05-21,N***r,ズボンの猫の毛はほとんど取れません,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-05-26/51bd60ec-db27-4e0a-8ff5-f450c6cd85a0.jpg
5,2503191148021601200,CJYD2332008,2505260609041601100,5,ES,2025-05-21,L***c,"Van muy bien, para quitar los pelos de mis gatos",
5,2503191148021601200,CJYD2332008,2505260609041601105,5,FR,2025-05-18,U***n,works great !!,
5,2503191148021601200,CJYD2332008,2505260609041601101,5,UA,2025-05-15,P***d,"Щетка пришла быстро. Не очень качественный пошив и неудобно держать, сразу порвалась,но она шикарно убирает шерсть с постельного белья и мебели.",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-05-26/bb3b7187-52b3-4985-9e81-68a7276fb904.jpg | https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-05-26/8098913a-99fe-45e0-82a7-f0fc47e25f48.jpg
5,2503191148021601200,CJYD2332008,2505260609041601102,5,CH,2025-05-13,D***a,Perfect!,
5,2503191148021601200,CJYD2332008,2505260609041601115,3,UA,2025-05-13,P***x,"ну таке... ця щітка більш для чогось жорсткого підходить типу грубий килим. бо коли щось м'яке типу пледу, воно за щіткою тягнеться і неможливо зібрати шерсть як вони на відео показали",
5,2503191148021601200,CJYD2332008,2505260609041601103,5,IT,2025-05-10,M***q,"Non mi è piaciuto molto, non toglie molti peli secondo me",
5,2503191148021601200,CJYD2332008,2505260609051603800,2,IL,2025-05-09,C***b,"cleans well, difficult to hold",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-05-26/19b337ab-290f-427f-9971-0d9c7cdfddf0.jpg | https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-05-26/34f10713-6150-4290-a903-c3a886f19c95.jpg
5,2503191148021601200,CJYD2332008,2505260609041601114,3,DE,2025-05-08,S***m,Funktioniert ,
5,2503191148021601200,CJYD2332008,2505260609041601104,5,NL,2025-05-01,S***s,snel geleverd goede kwaliteit.,
5,2503191148021601200,CJYD2332008,2505260609051603801,1,NL,2025-04-23,P***f,Werkt niet bij kattenharen ,
5,2503191148021601200,CJYD2332008,2505260609041601109,5,FR,2025-04-23,D***e,"Au top
Très contente
Merci",
5,2503191148021601200,CJYD2332008,2505260609041601107,5,GB,2025-04-06,X***i,Seller with the highest standards! unexpectedly fast! would recommend!,
5,2503191148021601200,CJYD2332008,2505260609041601111,5,US,2025-03-24,B***p,Funcionan perfectamente en mis muebles.,
5,2503191148021601200,CJYD2332008,2505260609041601108,5,US,2025-03-13,Q***n,Great product for dealing with pet hair,
5,2503191148021601200,CJYD2332008,2505260609041601112,5,CL,2025-02-28,N***a,excelente saca super bien los pelitos de mis gatos..volveré a comprar,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-05-26/c7cfba92-c46b-49e3-8458-b1c11f407d87.jpg
5,2503191148021601200,CJYD2332008,2505260609041601110,5,FR,2025-02-19,L***b,Fast shipping thank you Good product ,
5,2503191148021601200,CJYD2332008,2505260609041601106,5,FR,2025-02-12,U***z,Fonctionne à merveille ,
