rank,pid,product_sku,vid,variantSku,variantKey,variantSellPrice,variantSugSellPrice,variantWeight_g,L_mm,W_mm,H_mm,volume_mm3,barcode,inv_total,inv_cj,inv_factory,inv_by_country,verifiedWarehouse,createTime,variantImage,variantNameEn
3,2406120341111620600,CJYD2058496,2406120341111621600,CJYD205849604DW,Shark Pirate Ship 100cm-1PCS,3.35,21.88,442.0,350,300,100,10500000,1600003919939,11899,49,11850,CN:11899(cj 49),CN:1,2024-06-12,https://oss-cf.cjdropshipping.com/product/2025/06/12/01/f858a542-2057-40e2-a2f8-4d218406d0b2.jpg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Shark Pirate Ship 100cm 1PCS
3,2406120341111620600,CJYD2058496,2406120341111621800,CJYD205849605EV,Seal Dolphin 100cm-1PCS,3.52,24.94,510.0,350,300,100,10500000,1600003919940,10363,0,10363,CN:10363(cj 0),CN:2,2024-06-12,https://oss-cf.cjdropshipping.com/product/2024/06/12/03/991f8f37-f293-45a6-ab76-72a24c0138eb_trans.jpeg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Seal Dolphin 100cm 1PCS
3,2406120341111620600,CJYD2058496,2407170935211617300,CJYD205849606FU,Ice pad large size-1PCS,1.55,27.34,380.0,350,300,50,5250000,1600004230398,10288,0,10288,CN:10288(cj 0),CN:2,2024-07-17,https://oss-cf.cjdropshipping.com/product/2024/07/17/09/b45908c4-6e2c-408a-8f9e-cdae0d4959f6_trans.jpeg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Ice pad large size 1PCS
3,2406120341111620600,CJYD2058496,2407220901471615300,CJYD205849607GT,Random color pump-1PCS,0.58,3.79,70.0,150,70,70,735000,1600004272616,14049,1,14048,CN:14049(cj 1),CN:1,2024-07-22,https://oss-cf.cjdropshipping.com/product/2024/07/22/08/6d107a97-aafa-4f37-9ff1-2ad46fa08bf6.jpg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Random color pump 1PCS
3,2406120341111620600,CJYD2058496,2407230142511603500,CJYD205849608HS,Ocean World 65cm-1PCS,2.09,13.65,416.0,350,300,50,5250000,1600004274975,13472,0,13472,CN:13472(cj 0),CN:2,2024-07-23,https://oss-cf.cjdropshipping.com/product/2024/07/23/01/83166dbc-9ebe-4d5a-9aaa-dbd84e71998b.jpg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Ocean World 65cm 1PCS
3,2406120341111620600,CJYD2058496,2407230142511603700,CJYD205849609IR,Ocean World 100cm-1PCS,3.09,20.18,510.0,350,300,50,5250000,1600004274976,14456,0,14456,CN:14456(cj 0),CN:2,2024-07-23,https://oss-cf.cjdropshipping.com/product/2024/07/23/01/9310b0e2-3eba-4832-8ab1-737cda82f18e.jpg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Ocean World 100cm 1PCS
3,2406120341111620600,CJYD2058496,2506200638421621900,CJYD205849610JQ,Ice pad small size-1PCS,1.6,10.45,250.0,350,300,50,5250000,1600007138516,7991,0,7991,CN:7991(cj 0),CN:2,2025-06-20,https://oss-cf.cjdropshipping.com/product/2025/06/20/06/9b28246b-f8ba-48f7-b8a2-81eb116416dd_trans.jpeg,Summer Cooling Pet Water Bed Cushion Ice Pad Dog Sleeping Square Mat For Puppy Dogs Cats Pet Kennel Cool Cold Ice pad small size 1PCS
4,1633065187785846784,CJMY1700579,1633065187873927168,CJMY170057901AZ,Orange Blue,3.95,25.8,495.0,200,240,68,3264000,1600000182393,10637,0,10637,CN:10637(cj 0),CN:2,2023-03-07,https://cf.cjdropshipping.com/f90faf4f-e435-42e7-9268-975dd13ec2cf.jpg,2 In 1 Pet Cat Toy With Feather For Self-play Cat Turntable Pets Supplies Cat Toy Toys Cats Items Products Orange Blue
4,1633065187785846784,CJMY1700579,1633065187978784768,CJMY170057902BY,Yellow green,3.95,25.8,495.0,200,240,68,3264000,1600000182394,13597,0,13597,CN:13597(cj 0),CN:2,2023-03-07,https://cf.cjdropshipping.com/1b865cb0-6be4-4ae8-b933-b20f739aa6d5.jpg,2 In 1 Pet Cat Toy With Feather For Self-play Cat Turntable Pets Supplies Cat Toy Toys Cats Items Products Yellow green
5,1400301617122775040,CJGY1157230,1400301618557227008,CJGY115723001AZ,random color-1PC,0.51,3.34,60.0,220,220,30,1452000,1598447713638,25351,13,25338,CN:25349(cj 11)|US:2(cj 2),CN:1|US:1,2021-06-03,https://cf.cjdropshipping.com/1622692808913.jpg,Silicone Flying Saucer Funny Pets Dog Cat Toy Dog Game Flying Discs Resistant Chew Puppy Training Interactive Pet Supplies random color 1PC
